City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall over last 1hr,Snowfall over last 1hr
0,Bethel,US,41.37,-73.41,78.01,64,40,4.7,scattered clouds,0.0,0.0
1,Pangkalanbuun,ID,-2.68,111.62,80.13,78,100,4.27,overcast clouds,0.0,0.0
2,Port Alfred,ZA,-33.59,26.89,60.64,32,0,9.51,clear sky,0.0,0.0
3,Saint-Philippe,RE,-21.36,55.77,64.4,72,20,5.82,few clouds,0.0,0.0
4,Tuatapere,NZ,-46.13,167.68,47.37,66,44,3.78,scattered clouds,0.0,0.0
5,Bengkulu,ID,-3.8,102.27,80.13,77,82,1.74,broken clouds,0.0,0.0
6,Padang,ID,-0.95,100.35,78.13,81,100,3.89,light rain,0.71,0.0
7,Rikitea,PF,-23.12,-134.97,70.93,75,54,13.18,broken clouds,0.0,0.0
8,Cidreira,BR,-30.18,-50.21,54.28,88,21,7.72,few clouds,0.0,0.0
9,Hobyo,SO,5.35,48.53,78.4,78,83,16.35,broken clouds,0.0,0.0
10,Ngunguru,NZ,-35.62,174.5,60.01,3,48,5.99,light rain,0.19,0.0
11,Roald,NO,62.58,6.13,48.2,87,49,3.36,scattered clouds,0.0,0.0
12,Port Blair,IN,11.67,92.75,83.57,77,100,14.16,overcast clouds,0.0,0.0
13,Bluff,NZ,-46.6,168.33,48.2,74,92,14.32,overcast clouds,0.0,0.0
14,Yellowknife,CA,62.46,-114.35,71.6,43,75,6.93,broken clouds,0.0,0.0
15,Auki,SB,-8.77,160.7,85.3,67,24,5.53,light rain,0.33,0.0
16,East London,ZA,-33.02,27.91,61.79,31,0,12.17,clear sky,0.0,0.0
17,Vallenar,CL,-28.57,-70.76,62.49,53,0,2.86,clear sky,0.0,0.0
18,Port-Cartier,CA,50.03,-66.87,66.0,93,90,4.7,overcast clouds,0.0,0.0
19,San Carlos De Bariloche,AR,-41.15,-71.31,32.0,91,45,11.41,scattered clouds,0.0,0.0
20,Hilo,US,19.73,-155.09,82.4,61,40,9.17,scattered clouds,0.0,0.0
21,Albany,US,42.6,-73.97,78.01,88,90,4.94,overcast clouds,0.0,0.0
22,Arraias,BR,-12.93,-46.94,66.78,45,97,3.98,overcast clouds,0.0,0.0
23,Tevaitoa,PF,-16.78,-151.5,79.27,76,100,15.28,overcast clouds,0.0,0.0
24,Ushuaia,AR,-54.8,-68.3,35.6,80,40,20.8,shower rain,0.0,0.0
25,Jackson,US,42.42,-122.83,82.4,34,1,14.99,clear sky,0.0,0.0
26,Bugalagrande,CO,4.21,-76.16,68.05,80,33,1.01,light rain,0.21,0.0
27,Castro,BR,-24.79,-50.01,57.54,89,2,4.38,clear sky,0.0,0.0
28,Punta Arenas,CL,-53.15,-70.92,33.8,86,22,16.11,few clouds,0.0,0.0
29,Portland,US,45.52,-122.68,75.2,40,20,11.41,few clouds,0.0,0.0
