City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Bethel,US,78.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
1,Pangkalanbuun,ID,80.13,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
5,Bengkulu,ID,80.13,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
7,Rikitea,PF,70.93,broken clouds,-23.12,-134.97,Pension Maro'i
9,Hobyo,SO,78.4,broken clouds,5.35,48.53,Osmani Hotel
12,Port Blair,IN,83.57,overcast clouds,11.67,92.75,Hotel Sentinel
14,Yellowknife,CA,71.6,broken clouds,62.46,-114.35,The Explorer Hotel
20,Hilo,US,82.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
21,Albany,US,78.01,overcast clouds,42.6,-73.97,
23,Tevaitoa,PF,79.27,overcast clouds,-16.78,-151.5,Hôtel Raiatea Lodge
25,Jackson,US,82.4,clear sky,42.42,-122.83,Agate Village Apartments
29,Portland,US,75.2,few clouds,45.52,-122.68,Portland Marriott City Center
30,Bambous Virieux,MU,72.0,shower rain,-20.34,57.76,Casa Tia Villa
32,Ascension,US,88.0,broken clouds,30.22,-90.9,Highland Inn
35,Katsuura,JP,75.99,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
36,Zaysan,KZ,70.72,few clouds,47.47,84.87,Gostinitsa Aray
38,Wanning,CN,87.44,clear sky,18.8,110.4,Paradise Hotel
41,Xingtai,CN,82.65,clear sky,37.06,114.49,Xingzhou Hotel
43,Dingle,PH,86.14,overcast clouds,11.0,122.67,Camp Pasica
45,Sorong,ID,82.92,clear sky,-0.88,131.25,The Waigo Hotel
50,Komsomolskiy,UZ,77.0,broken clouds,40.43,71.72,Ikathouse
55,Thompson,CA,73.4,broken clouds,55.74,-97.86,Burntwood Hotel
57,Puerto Narino,CO,77.0,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
59,Sumbe,AO,70.11,broken clouds,-11.21,13.84,Hotel Ritz Sumbe
65,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
68,Casteltermini,IT,73.0,clear sky,37.54,13.64,Enzo Martorana
70,Zhigansk,RU,72.45,overcast clouds,66.77,123.37,Gostinichnyy Kompleks Aylgy
71,El Sauzal,MX,73.99,clear sky,31.9,-116.68,La Rosas Hotel & Spa
72,Lae,PG,87.31,overcast clouds,-6.72,146.98,Phils Hotel
77,Sur,OM,85.21,broken clouds,22.57,59.53,Sur Plaza Hotel
81,Bodden Town,KY,84.0,few clouds,19.28,-81.25,Will T Place
84,Sao Joao Da Barra,BR,70.68,clear sky,-21.64,-41.05,Pousada Porto De Canoas
85,Arraial Do Cabo,BR,71.96,scattered clouds,-22.97,-42.03,Pousada Porto Praia
87,Nerchinskiy Zavod,RU,81.07,broken clouds,51.31,119.61,Tat'yana
89,Faanui,PF,78.82,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
91,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
92,Mandalgovi,MN,73.49,clear sky,45.76,106.27,В.Ганбат
93,Kuryk,KZ,78.58,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
94,Poum,NC,74.3,overcast clouds,-20.23,164.02,Gîte kajeon
95,Deputatskiy,RU,72.55,broken clouds,69.3,139.9,Baza Otdykha
97,Touros,BR,71.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
98,San Andres,CO,82.4,scattered clouds,12.58,-81.7,Hotel Arena Blanca
105,Puqi,CN,77.92,overcast clouds,29.72,113.88,Ramada Plaza Chibi
112,Puerto Escondido,MX,80.83,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
113,Aklera,IN,79.57,overcast clouds,24.42,76.57,hotel sangam palace
115,Yarada,IN,80.6,broken clouds,17.65,83.27,"D-26/2, Dolphin Hill,"
116,Korla,CN,78.55,broken clouds,41.76,86.15,Gulisitan Hotel
121,Chalus,IR,73.4,broken clouds,36.66,51.42,نظام مهندسي ساختمان چالوس
123,Alofi,NU,75.2,few clouds,-19.06,-169.92,Taloa Heights
124,Gat,IL,73.99,clear sky,31.61,34.76,רגע בנחת
126,Itarema,BR,77.5,few clouds,-2.92,-39.92,Windvillage
129,Robertsport,LR,76.78,overcast clouds,6.75,-11.37,Kwepunha Retreat
133,Kodinsk,RU,73.08,few clouds,58.69,99.18,
137,Hambantota,LK,78.8,broken clouds,6.12,81.12,Bungalow 63
138,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
147,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
149,Banda Aceh,ID,82.76,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
151,Tucurui,BR,78.67,broken clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
154,Neiafu,TO,78.8,broken clouds,-18.65,-173.98,Mystic Sands
155,Hami,CN,81.55,overcast clouds,42.8,93.45,Laoyutang Resort
156,San Quintin,MX,73.94,clear sky,30.48,-115.95,Old Mill Hotel
157,Asyut,EG,76.24,clear sky,27.18,31.18,Florence Hotel Assiut
162,Umm Lajj,SA,81.88,broken clouds,25.02,37.27,Moon light Furnished Units
163,Yuli,NG,72.79,broken clouds,9.7,10.27,
164,Xiaoshi,CN,78.8,mist,41.3,124.12,Junsheng Fengweilou Farmstay
167,Kavieng,PG,84.6,broken clouds,-2.57,150.8,Nusa Island Retreat
172,Barcelos,PT,75.0,clear sky,41.54,-8.62,Hotel Do Terço
174,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
178,Gamba,GA,71.37,overcast clouds,-2.65,10.0,
181,Chokurdakh,RU,73.96,scattered clouds,70.63,147.92,
182,Miles City,US,84.2,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
185,Fort Morgan,US,86.0,clear sky,40.25,-103.8,Hampton Inn Fort Morgan
186,Pedasi,PA,79.32,scattered clouds,7.53,-80.03,Selina Pedasi
193,Sabha,LY,80.29,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
194,Saint Anthony,US,79.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
